,SalePrice,OverallQual,OverallCond,BedroomAbvGr,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,YearBuilt,MSZoning,Utilities,BldgType
0,208500,7,5,3,8,1710,856,2003,RL,AllPub,1Fam
1,181500,6,8,3,6,1262,1262,1976,RL,AllPub,1Fam
2,223500,7,5,3,6,1786,920,2001,RL,AllPub,1Fam
3,140000,7,5,3,7,1717,756,1915,RL,AllPub,1Fam
4,250000,8,5,4,9,2198,1145,2000,RL,AllPub,1Fam
5,143000,5,5,1,5,1362,796,1993,RL,AllPub,1Fam
6,307000,8,5,3,7,1694,1686,2004,RL,AllPub,1Fam
7,200000,7,6,3,7,2090,1107,1973,RL,AllPub,1Fam
8,129900,7,5,2,8,1774,952,1931,RM,AllPub,1Fam
9,118000,5,6,2,5,1077,991,1939,RL,AllPub,2fmCon
10,129500,5,5,3,5,1040,1040,1965,RL,AllPub,1Fam
11,345000,9,5,4,11,2324,1175,2005,RL,AllPub,1Fam
12,144000,5,6,2,4,912,912,1962,RL,AllPub,1Fam
13,279500,7,5,3,7,1494,1494,2006,RL,AllPub,1Fam
14,157000,6,5,2,5,1253,1253,1960,RL,AllPub,1Fam
15,132000,7,8,2,5,854,832,1929,RM,AllPub,1Fam
16,149000,6,7,2,5,1004,1004,1970,RL,AllPub,1Fam
17,90000,4,5,2,6,1296,0,1967,RL,AllPub,Duplex
18,159000,5,5,3,6,1114,1114,2004,RL,AllPub,1Fam
19,139000,5,6,3,6,1339,1029,1958,RL,AllPub,1Fam
20,325300,8,5,4,9,2376,1158,2005,RL,AllPub,1Fam
21,139400,7,7,3,6,1108,637,1930,RM,AllPub,1Fam
22,230000,8,5,3,7,1795,1777,2002,RL,AllPub,1Fam
23,129900,5,7,3,6,1060,1040,1976,RM,AllPub,TwnhsE
24,154000,5,8,3,6,1060,1060,1968,RL,AllPub,1Fam
25,256300,8,5,3,7,1600,1566,2007,RL,AllPub,1Fam
26,134800,5,7,3,5,900,900,1951,RL,AllPub,1Fam
27,306000,8,5,3,7,1704,1704,2007,RL,AllPub,1Fam
28,207500,5,6,2,6,1600,1484,1957,RL,AllPub,1Fam
29,68500,4,6,1,4,520,520,1927,RM,AllPub,1Fam
30,40000,4,4,3,6,1317,649,1920,C (all),AllPub,1Fam
31,149350,5,6,3,6,1228,1228,1966,RL,AllPub,1Fam
32,179900,8,5,3,7,1234,1234,2007,RL,AllPub,1Fam
33,165500,5,5,4,6,1700,1398,1959,RL,AllPub,1Fam
34,277500,9,5,2,6,1561,1561,2005,RL,AllPub,TwnhsE
35,309000,8,5,4,9,2452,1117,2004,RL,AllPub,1Fam
36,145000,5,5,3,6,1097,1097,1994,RL,AllPub,1Fam
37,153000,5,6,3,5,1297,1297,1954,RL,AllPub,1Fam
38,109000,5,7,3,5,1057,1057,1953,RL,AllPub,1Fam
39,82000,4,5,2,6,1152,0,1955,RL,AllPub,Duplex
40,160000,6,5,3,6,1324,1088,1965,RL,AllPub,1Fam
41,170000,5,6,2,5,1328,1350,1959,RL,AllPub,1Fam
42,144000,5,7,2,5,884,840,1983,RL,AllPub,1Fam
43,130250,5,6,3,5,938,938,1975,RL,AllPub,1Fam
44,141000,5,6,3,6,1150,1150,1959,RL,AllPub,1Fam
45,319900,9,5,2,6,1752,1752,2005,RL,AllPub,TwnhsE
46,239686,7,5,1,6,2149,1434,2003,RL,AllPub,1Fam
47,249700,8,5,3,7,1656,1656,2006,FV,AllPub,1Fam
48,113000,4,5,2,8,1452,736,1920,RM,AllPub,2fmCon
49,127000,5,7,3,6,955,955,1966,RL,AllPub,1Fam
50,177000,6,6,3,6,1470,794,1997,RL,AllPub,1Fam
51,114500,6,6,3,6,1176,816,1934,RM,AllPub,1Fam
52,110000,5,5,2,5,816,816,1963,RM,AllPub,Duplex
53,385000,9,5,0,5,1842,1842,1981,RL,AllPub,1Fam
54,130000,5,5,3,6,1360,384,1955,RL,AllPub,1Fam
55,180500,6,5,3,7,1425,1425,1964,RL,AllPub,1Fam
56,172500,8,5,3,7,1739,970,1999,FV,AllPub,Twnhs
57,196500,7,5,3,7,1720,860,2004,RL,AllPub,1Fam
58,438780,10,5,3,10,2945,1410,2006,RL,AllPub,1Fam
59,124900,5,7,2,4,780,780,1972,RL,AllPub,1Fam
60,158000,6,5,3,5,1158,1158,2004,RL,AllPub,1Fam
61,101000,5,7,3,6,1111,530,1920,RM,AllPub,1Fam
62,202500,8,5,2,6,1370,1370,2006,RL,AllPub,TwnhsE
63,140000,7,6,3,9,1710,576,1921,RM,AllPub,1Fam
64,219500,7,5,3,8,2034,1057,1997,RL,AllPub,1Fam
65,317000,8,5,4,9,2473,1143,2004,RL,AllPub,1Fam
66,180000,7,5,3,7,2207,1947,1970,RL,AllPub,1Fam
67,226000,7,5,3,7,1479,1453,2003,RL,AllPub,1Fam
68,80000,4,6,2,4,747,747,1945,RM,AllPub,1Fam
69,225000,7,4,3,7,2287,1304,1953,RL,AllPub,1Fam
70,244000,7,6,3,8,2223,2223,1973,RL,AllPub,1Fam
71,129500,4,6,2,4,845,845,1982,RL,AllPub,1Fam
72,185000,7,5,3,7,1718,832,1998,RL,AllPub,1Fam
73,144900,5,7,3,6,1086,1086,1954,RL,AllPub,1Fam
74,107400,3,6,3,8,1605,840,1915,RM,AllPub,1Fam
75,91000,4,5,2,5,988,462,1973,RM,AllPub,Twnhs
76,135750,4,7,2,4,952,952,1956,RL,AllPub,1Fam
77,127000,5,5,2,6,1285,672,1948,RM,AllPub,1Fam
78,136500,4,5,4,8,1768,1768,1968,RL,AllPub,Duplex
79,110000,5,6,2,5,1230,440,1910,RM,AllPub,1Fam
80,193500,6,6,4,8,2142,896,1968,RL,AllPub,1Fam
81,153500,6,5,2,5,1337,1237,1998,RM,AllPub,TwnhsE
82,245000,8,5,3,6,1563,1563,2007,RL,AllPub,1Fam
83,126500,5,5,3,6,1065,1065,1960,RL,AllPub,1Fam
84,168500,7,5,3,7,1474,384,1995,RL,AllPub,1Fam
85,260000,8,5,4,9,2417,1288,1991,RL,AllPub,1Fam
86,174000,6,5,3,6,1560,684,2005,RL,AllPub,1Fam
87,164500,6,5,2,4,1224,612,2009,FV,AllPub,TwnhsE
88,85000,3,2,2,6,1526,1013,1915,C (all),AllPub,1Fam
89,123600,4,5,3,5,990,990,1994,RL,AllPub,1Fam
90,109900,4,5,2,4,1040,0,1950,RL,AllPub,1Fam
91,98600,5,3,2,6,1235,1235,1961,RL,AllPub,1Fam
92,163500,5,7,2,5,964,876,1921,RL,AllPub,1Fam
93,133900,6,6,4,9,2291,1214,1910,C (all),AllPub,2fmCon
94,204750,6,5,3,7,1786,824,1997,RL,AllPub,1Fam
95,185000,6,8,3,6,1470,680,1993,RL,AllPub,1Fam
96,214000,7,5,3,6,1588,1588,1999,RL,AllPub,1Fam
97,94750,4,5,3,6,960,960,1965,RL,AllPub,1Fam
98,83000,5,5,2,5,835,458,1920,RL,AllPub,1Fam
99,128950,4,5,3,6,1225,950,1959,RL,AllPub,1Fam
100,205000,6,7,3,6,1610,1610,1977,RL,AllPub,1Fam
101,178000,6,5,3,7,1732,741,1985,RL,AllPub,1Fam
102,118964,5,5,4,8,1535,0,1979,RL,AllPub,Duplex
103,198900,7,5,3,6,1226,1226,2009,RL,AllPub,1Fam
104,169500,7,4,4,7,1818,1040,1931,RM,AllPub,1Fam
105,250000,8,5,3,9,1992,1053,2003,FV,AllPub,1Fam
106,100000,4,7,2,6,1047,641,1885,RM,AllPub,1Fam
107,115000,5,5,2,5,789,789,1948,RM,AllPub,1Fam
108,115000,5,7,3,7,1517,793,1919,RM,AllPub,1Fam
109,190000,6,6,3,7,1844,1844,1977,RL,AllPub,1Fam
110,136900,6,4,4,7,1855,994,1954,RL,AllPub,1Fam
111,180000,7,5,3,7,1430,384,2000,RL,AllPub,1Fam
112,383970,7,5,4,10,2696,1264,2007,RL,AllPub,1Fam
113,217000,6,5,3,7,2259,1809,1953,RL,AllPub,1Fam
114,259500,6,8,3,9,2320,1028,1945,RL,AllPub,1Fam
115,176000,6,5,2,5,1458,729,1999,FV,AllPub,TwnhsE
116,139000,5,5,3,6,1092,1092,1962,RL,AllPub,1Fam
117,155000,5,5,2,5,1125,1125,2006,RL,AllPub,1Fam
118,320000,7,5,5,11,3222,1673,1990,RL,AllPub,1Fam
119,163990,6,5,3,8,1456,728,2005,RL,AllPub,1Fam
120,180000,6,5,1,4,988,938,1969,RL,AllPub,1Fam
121,100000,4,5,3,4,1123,732,1939,RM,AllPub,1Fam
122,136000,6,7,3,5,1080,1080,1958,RL,AllPub,1Fam
123,153900,6,5,2,5,1199,1199,1993,RL,AllPub,TwnhsE
124,181000,6,5,3,7,1586,1362,1979,RL,AllPub,1Fam
125,84500,6,8,2,5,754,520,1935,RM,AllPub,2fmCon
126,128000,6,5,2,5,958,1078,1976,RL,AllPub,TwnhsE
127,87000,5,7,3,5,840,672,1930,RM,AllPub,1Fam
128,155000,6,5,3,6,1348,660,1966,RL,AllPub,1Fam
129,150000,5,7,3,6,1053,1008,1958,RL,AllPub,1Fam
130,226000,7,6,4,8,2157,924,1966,RL,AllPub,1Fam
131,244000,6,5,3,7,2054,992,2000,RL,AllPub,1Fam
132,150750,5,6,3,7,1327,1063,1959,RL,AllPub,1Fam
133,220000,8,5,2,6,1296,1267,2001,RL,AllPub,1Fam
134,180000,5,6,3,7,1721,1461,1968,RL,AllPub,1Fam
135,174000,7,6,3,7,1682,1304,1970,RL,AllPub,1Fam
136,143000,5,5,3,5,1214,1214,1967,RL,AllPub,1Fam
137,171000,7,5,5,9,1959,1907,1988,RL,AllPub,Duplex
138,230000,8,5,3,7,1852,1004,1999,RL,AllPub,1Fam
139,231500,6,5,3,7,1764,928,1997,RL,AllPub,1Fam
140,115000,4,5,3,5,864,864,1971,RL,AllPub,1Fam
141,260000,7,5,3,7,1734,1734,2005,RL,AllPub,1Fam
142,166000,5,4,4,6,1385,910,1952,RL,AllPub,1Fam
143,204000,7,5,3,6,1501,1490,1999,RL,AllPub,1Fam
144,125000,5,5,6,10,1728,1728,1963,RM,AllPub,Duplex
145,130000,6,5,3,7,1709,970,2004,RM,AllPub,Twnhs
146,105000,5,7,2,5,875,715,1931,RM,AllPub,1Fam
147,222500,7,5,3,8,2035,884,2001,RL,AllPub,1Fam
148,141000,7,5,3,6,1080,1080,2004,RL,AllPub,1Fam
149,115000,5,4,3,7,1344,896,1936,RM,AllPub,1Fam
150,122000,5,6,3,5,969,969,1975,RL,AllPub,1Fam
151,372402,8,5,2,6,1710,1710,2007,RL,AllPub,1Fam
152,190000,6,5,4,8,1993,825,1971,RL,AllPub,1Fam
153,235000,6,7,1,4,1252,1602,1960,RL,AllPub,1Fam
154,125000,6,5,4,7,1200,1200,1923,RM,AllPub,1Fam
155,79000,6,5,2,5,1096,572,1924,RL,AllPub,1Fam
156,109500,5,7,2,5,1040,0,1950,RL,AllPub,1Fam
157,269500,8,5,4,8,1968,774,2009,RL,AllPub,1Fam
158,254900,7,5,3,8,1947,991,2004,FV,AllPub,1Fam
159,320000,7,5,4,9,2462,1392,2005,RL,AllPub,1Fam
160,162500,6,6,3,6,1232,1232,1984,RL,AllPub,1Fam
161,412500,9,5,3,10,2668,1572,2003,RL,AllPub,1Fam
162,220000,7,5,3,7,1541,1541,2005,RL,AllPub,1Fam
163,103200,4,6,1,4,882,882,1956,RL,AllPub,1Fam
164,152000,6,7,3,5,1616,1149,1926,RM,AllPub,1Fam
165,127500,5,7,4,6,1355,644,1940,RL,AllPub,2fmCon
166,190000,5,5,2,7,1867,1617,1955,RL,AllPub,1Fam
167,325624,8,5,3,8,2161,1582,2007,RL,AllPub,1Fam
168,183500,7,5,3,7,1720,840,2004,RL,AllPub,1Fam
169,228000,8,6,2,6,1707,1686,1981,RL,AllPub,1Fam
170,128500,5,6,2,7,1382,720,1941,RM,AllPub,1Fam
171,215000,6,5,3,7,1656,1080,1960,RL,AllPub,1Fam
172,239000,7,7,2,5,1767,1064,1987,RL,AllPub,TwnhsE
173,163000,6,5,3,6,1362,1362,1961,RL,AllPub,1Fam
174,184000,6,5,3,7,1651,1606,1986,RL,AllPub,1Fam
175,243000,6,7,4,7,2158,1202,1950,RL,AllPub,1Fam
176,211000,6,5,4,8,2060,1151,1988,RL,AllPub,1Fam
177,172500,5,5,4,8,1920,1052,1958,RL,AllPub,1Fam
178,501837,9,5,1,9,2234,2216,2008,RL,AllPub,1Fam
179,100000,5,6,2,5,968,968,1923,RM,AllPub,1Fam
180,177000,6,5,3,5,1525,756,2000,FV,AllPub,Twnhs
181,200100,7,6,4,9,1802,793,1920,RL,AllPub,1Fam
182,120000,5,6,3,7,1340,0,1957,RL,AllPub,1Fam
183,200000,7,5,3,6,2082,1362,2003,RM,AllPub,1Fam
184,127000,5,8,3,5,1252,504,1908,RL,AllPub,1Fam
185,475000,10,9,4,12,3608,1107,1892,RM,AllPub,1Fam
186,173000,7,5,3,6,1217,1188,1990,RL,AllPub,1Fam
187,135000,5,7,3,8,1656,660,1916,RL,AllPub,1Fam
188,153337,5,5,2,6,1224,1086,1979,RL,AllPub,Duplex
189,286000,8,5,0,5,1593,1593,2001,RL,AllPub,TwnhsE
190,315000,8,8,3,10,2727,853,1932,RL,AllPub,1Fam
191,184000,7,9,4,7,1479,725,1972,RL,AllPub,1Fam
192,192000,7,5,3,6,1431,1431,1999,RL,AllPub,1Fam
193,130000,7,5,3,7,1709,970,2004,RM,AllPub,Twnhs
194,127000,5,7,3,5,864,864,1972,RL,AllPub,1Fam
195,148500,6,6,3,7,1456,855,1976,RL,AllPub,Twnhs
196,311872,7,5,3,8,1726,1726,2007,RL,AllPub,1Fam
197,235000,8,4,4,8,3112,1360,1918,RL,AllPub,1Fam
198,104000,6,6,5,8,2229,755,1912,RM,AllPub,1Fam
199,274900,8,5,3,7,1713,1713,2004,RL,AllPub,1Fam
200,140000,4,5,2,5,1121,1121,2003,RM,AllPub,1Fam
201,171500,6,6,3,6,1279,1196,1977,RL,AllPub,1Fam
202,112000,6,6,2,6,1310,617,1924,RL,AllPub,1Fam
203,149000,6,5,1,3,848,848,2004,RM,AllPub,TwnhsE
204,110000,5,7,2,5,1284,720,1947,RM,AllPub,1Fam
205,180500,7,5,3,5,1442,1424,1990,RL,AllPub,1Fam
206,143900,5,5,3,8,1696,1140,1962,RL,AllPub,1Fam
207,141000,4,5,3,6,1100,1100,1960,RL,AllPub,1Fam
208,277000,7,5,3,7,2062,1157,1988,RL,AllPub,1Fam
209,145000,6,7,3,6,1092,1092,1964,RL,AllPub,1Fam
210,98000,5,6,2,5,864,864,1925,RL,AllPub,1Fam
211,186000,6,5,3,6,1212,1212,2009,RL,AllPub,1Fam
212,252678,7,5,3,7,1852,900,2009,FV,AllPub,1Fam
213,156000,5,5,3,5,990,990,1995,RL,AllPub,1Fam
214,161750,6,7,3,6,1392,689,1977,RL,AllPub,1Fam
215,134450,5,6,2,6,1236,1070,1957,RL,AllPub,1Fam
216,210000,7,5,3,8,1436,1436,2004,RL,AllPub,1Fam
217,107000,4,4,3,8,1328,686,1925,RM,AllPub,1Fam
218,311500,7,9,3,8,1954,798,1939,RL,AllPub,1Fam
219,167240,7,5,2,5,1248,1248,2005,RL,AllPub,TwnhsE
220,204900,7,5,2,5,1498,1498,2006,RL,AllPub,1Fam
221,200000,6,5,4,8,2267,1010,2002,RL,AllPub,1Fam
222,179900,6,6,3,6,1552,713,1975,RL,AllPub,1Fam
223,97000,4,6,2,4,864,864,1971,RL,AllPub,1Fam
224,386250,10,5,3,8,2392,2392,2003,RL,AllPub,1Fam
225,112000,5,5,3,6,1302,630,1971,RM,AllPub,Twnhs
226,290000,7,5,4,9,2520,1203,1995,RL,AllPub,1Fam
227,106000,6,6,2,5,987,483,1970,RM,AllPub,Twnhs
228,125000,5,5,3,5,912,912,1967,RL,AllPub,1Fam
229,192500,7,5,2,7,1555,1373,2005,RL,AllPub,TwnhsE
230,148000,6,6,3,6,1194,1194,1959,RL,AllPub,1Fam
231,403000,8,5,4,9,2794,1462,1995,RL,AllPub,1Fam
232,94500,6,5,2,5,987,483,1972,RM,AllPub,Twnhs
233,128200,5,6,3,5,894,894,1976,RL,AllPub,1Fam
234,216500,6,5,4,8,1960,860,2002,RL,AllPub,1Fam
235,89500,6,3,2,5,987,483,1971,RM,AllPub,TwnhsE
236,185500,7,5,3,6,1414,1414,2004,RL,AllPub,1Fam
237,194500,7,7,3,7,1744,996,1993,RL,AllPub,1Fam
238,318000,8,5,3,7,1694,1694,2007,RL,AllPub,1Fam
239,113000,6,4,3,7,1487,735,1945,RL,AllPub,1Fam
240,262500,8,5,3,7,1566,1566,2008,FV,AllPub,1Fam
241,110500,5,9,2,4,866,686,1945,RM,AllPub,1Fam
242,79000,5,4,3,6,1440,540,1900,RM,AllPub,1Fam
243,120000,6,6,3,6,1217,626,1980,RL,AllPub,TwnhsE
244,205000,7,5,3,8,2110,948,1994,RL,AllPub,1Fam
245,241500,7,5,3,6,1872,1845,1988,RL,AllPub,1Fam
246,137000,6,8,4,9,1928,1020,1910,RM,AllPub,2fmCon
247,140000,6,5,2,5,1375,1367,1954,RL,AllPub,1Fam
248,180000,7,5,3,8,1668,840,2003,RL,AllPub,1Fam
249,277000,6,7,4,7,2144,1444,1958,RL,AllPub,1Fam
250,76500,3,2,3,6,1306,728,1940,RL,AllPub,1Fam
251,235000,8,5,2,5,1625,1573,2006,RM,AllPub,TwnhsE
252,173000,6,5,3,6,1640,798,2004,RL,AllPub,1Fam
253,158000,6,7,3,7,1302,1302,1964,RL,AllPub,1Fam
254,145000,5,6,3,5,1314,1314,1957,RL,AllPub,1Fam
255,230000,7,5,4,8,2291,975,1999,RL,AllPub,1Fam
256,207500,6,5,3,7,1728,864,2003,FV,AllPub,1Fam
257,220000,7,5,3,8,1604,1604,2006,RL,AllPub,1Fam
258,231500,7,5,3,7,1792,963,2001,RL,AllPub,1Fam
259,97000,5,5,2,4,882,0,1956,RM,AllPub,1Fam
260,176000,6,5,3,6,1382,1362,1962,RL,AllPub,1Fam
261,276000,8,5,3,10,2574,1482,2007,RL,AllPub,1Fam
262,151000,6,7,3,6,1212,506,1977,RL,AllPub,1Fam
263,130000,5,7,3,6,1316,926,1929,RM,AllPub,1Fam
264,73000,5,5,2,4,764,680,1925,RM,AllPub,1Fam
265,175500,6,6,3,7,1422,1422,1981,RL,AllPub,1Fam
266,185000,6,5,3,8,1511,802,1997,RL,AllPub,1Fam
267,179500,5,8,4,8,2192,720,1939,RL,AllPub,1Fam
268,120500,5,6,2,4,778,740,1940,RM,AllPub,1Fam
269,148000,6,7,3,6,1113,1143,1976,RL,AllPub,1Fam
270,266000,8,5,3,8,1939,1095,2006,FV,AllPub,1Fam
271,241500,7,7,2,5,1363,1385,1954,RL,AllPub,1Fam
272,290000,8,7,4,9,2270,1152,1999,RL,AllPub,1Fam
273,139000,6,6,3,6,1632,1240,1958,RL,AllPub,1Fam
274,124500,5,7,2,5,816,816,1982,RL,AllPub,1Fam
275,205000,7,7,3,5,1548,952,1925,RL,AllPub,1Fam
276,201000,7,5,3,7,1560,1560,2003,RL,AllPub,1Fam
277,141000,4,5,2,4,864,864,1951,RL,AllPub,1Fam
278,415298,9,5,3,8,2121,2121,2006,RL,AllPub,1Fam
279,192000,7,5,4,8,2022,1160,1977,RL,AllPub,1Fam
280,228500,7,6,3,7,1982,807,1989,RL,AllPub,1Fam
281,185000,6,5,2,5,1262,1262,2006,FV,AllPub,1Fam
282,207500,7,5,2,6,1314,1314,2007,RL,AllPub,Twnhs
283,244600,8,5,3,6,1468,1468,2008,RL,AllPub,1Fam
284,179200,6,5,2,5,1575,1575,1992,RL,AllPub,TwnhsE
285,164700,7,5,2,5,1250,625,2006,FV,AllPub,TwnhsE
286,159000,6,7,3,7,1734,912,1962,RL,AllPub,1Fam
287,88000,4,4,3,5,858,858,1971,RL,AllPub,1Fam
288,122000,5,5,3,5,900,882,1967,RL,AllPub,1Fam
289,153575,6,7,3,7,1396,698,1915,RL,AllPub,1Fam
290,233230,8,5,3,8,1919,1079,2006,RL,AllPub,1Fam
291,135900,5,6,6,9,1716,780,1912,RL,AllPub,2fmCon
292,131000,5,4,3,8,1716,768,1949,RL,AllPub,1Fam
293,235000,7,7,3,9,2263,795,1977,RL,AllPub,1Fam
294,167000,6,5,3,7,1644,1416,1953,RL,AllPub,1Fam
295,142500,6,6,3,6,1003,1003,1984,RL,AllPub,1Fam
296,152000,5,5,4,6,1558,910,1950,RM,AllPub,1Fam
297,239000,7,5,3,7,1950,975,1997,FV,AllPub,1Fam
298,175000,6,6,3,7,1743,702,1968,RL,AllPub,1Fam
299,158500,6,8,3,6,1152,1092,1950,RL,AllPub,1Fam
300,157000,5,5,2,5,1336,1165,1953,RL,AllPub,2fmCon
301,267000,8,5,4,9,2452,1028,1998,RL,AllPub,1Fam
302,205000,7,5,3,6,1541,1541,2001,RL,AllPub,1Fam
303,149900,5,7,3,5,894,894,1972,RL,AllPub,1Fam
304,295000,7,9,3,10,3493,1470,1880,RM,AllPub,1Fam
305,305900,8,5,3,8,2000,2000,2004,RL,AllPub,1Fam
306,225000,7,5,4,8,2243,700,1990,RL,AllPub,1Fam
307,89500,6,7,3,6,1406,319,1920,RM,AllPub,1Fam
308,82500,4,5,1,4,861,861,1940,RL,AllPub,1Fam
309,360000,9,5,3,8,1944,1896,2003,RL,AllPub,1Fam
310,165600,6,5,3,6,1501,697,1993,RL,AllPub,1Fam
311,132000,6,6,2,5,972,972,1948,RL,AllPub,1Fam
312,119900,5,7,3,5,1118,793,1939,RM,AllPub,2fmCon
313,375000,7,5,3,8,2036,2136,1965,RL,AllPub,1Fam
314,178000,7,7,3,6,1641,728,1925,RM,AllPub,1Fam
315,188500,7,5,3,6,1432,716,2004,RL,AllPub,1Fam
316,260000,7,7,4,10,2353,845,1980,RL,AllPub,1Fam
317,270000,8,5,3,8,1959,1088,2006,FV,AllPub,1Fam
318,260000,7,5,4,9,2646,1347,1993,RL,AllPub,1Fam
319,187500,7,5,3,6,1472,1372,1980,RL,AllPub,1Fam
320,342643,9,5,4,9,2596,1249,2006,RL,AllPub,1Fam
321,354000,8,5,4,10,2468,1136,2004,RL,AllPub,1Fam
322,301000,7,5,4,8,2730,1502,1986,RL,AllPub,1Fam
323,126175,3,8,3,6,1163,1162,1955,RM,AllPub,1Fam
324,242000,7,7,5,11,2978,710,1967,RL,AllPub,1Fam
325,87000,5,6,2,5,803,720,1941,RM,AllPub,1Fam
326,324000,8,5,1,6,1719,1719,1993,RL,AllPub,TwnhsE
327,145250,6,5,3,7,1383,1383,1960,RL,AllPub,1Fam
328,214500,6,6,5,10,2134,844,1916,RL,AllPub,1Fam
329,78000,5,5,3,6,1192,596,1920,RM,AllPub,1Fam
330,119000,5,4,6,10,1728,1728,1964,RL,AllPub,Duplex
331,139000,5,6,3,6,1056,1056,1958,RL,AllPub,1Fam
332,284000,8,5,3,7,1629,3206,2003,RL,AllPub,1Fam
333,207000,7,5,2,6,1358,1358,2004,RM,AllPub,TwnhsE
334,192000,6,5,3,7,1638,943,1998,RL,AllPub,1Fam
335,228950,5,6,3,7,1786,1499,1965,RL,AllPub,2fmCon
336,377426,9,5,3,8,1922,1922,2005,RL,AllPub,1Fam
337,214000,7,5,3,7,1536,1536,2002,RL,AllPub,1Fam
338,202500,7,7,3,8,1621,1208,1984,RL,AllPub,1Fam
339,155000,6,7,3,6,1215,1215,1958,RL,AllPub,1Fam
340,202900,8,5,4,9,1908,967,2002,RL,AllPub,1Fam
341,82000,4,4,2,4,841,721,1950,RH,AllPub,1Fam
342,87500,3,4,2,6,1040,0,1949,RL,AllPub,Duplex
343,266000,9,5,2,6,1684,1684,2005,RL,AllPub,TwnhsE
344,85000,5,3,3,4,1112,536,1976,RM,AllPub,TwnhsE
345,140200,6,5,3,6,1577,972,1939,RL,AllPub,1Fam
346,151500,6,8,2,5,958,958,1960,RL,AllPub,1Fam
347,157500,6,5,3,6,1478,1478,1960,RL,AllPub,1Fam
348,154000,7,5,2,6,1626,764,2003,RL,AllPub,Twnhs
349,437154,9,5,4,10,2728,1848,2005,RL,AllPub,1Fam
350,318061,9,5,2,6,1869,1869,2007,RL,AllPub,TwnhsE
351,190000,7,5,2,6,1453,1453,1986,RL,AllPub,1Fam
352,95000,5,6,3,5,1111,616,1941,RL,AllPub,1Fam
353,105900,6,8,2,5,720,624,1928,RM,AllPub,1Fam
354,140000,6,5,2,6,1595,940,1940,RL,AllPub,1Fam
355,177500,6,5,3,6,1200,1200,1995,RL,AllPub,1Fam
356,173000,6,6,3,6,1167,1158,1992,RL,AllPub,1Fam
357,134000,5,5,3,6,1142,1142,1976,RM,AllPub,TwnhsE
358,130000,5,4,3,6,1352,1062,1958,RL,AllPub,1Fam
359,280000,8,5,3,7,1924,1086,1998,RL,AllPub,1Fam
360,156000,6,6,2,5,912,888,1978,RL,AllPub,1Fam
361,145000,5,5,3,8,1505,883,1940,RL,AllPub,1Fam
362,198500,7,5,4,7,1922,0,2003,RL,AllPub,1Fam
363,118000,6,8,2,5,987,483,1972,RM,AllPub,Twnhs
364,190000,6,5,3,6,1574,796,1976,RL,AllPub,1Fam
365,147000,5,7,3,6,1344,672,1920,RM,AllPub,1Fam
366,159000,6,5,3,6,1394,1394,1963,RL,AllPub,1Fam
